,Tube_ID,row_counter,Lake_name,Invasion_category,Sample_type,Sample_origin,Collected_year,Collected_month_number,Littoral_zoobenthic_macroinvert_community_sample,Transect,Lat,Long,Sample_depth,Total_count,Vial_count,Functional_feeding_group,Method_of_take,real.name,Functional_group,Common_name,Scientific_name,Total_length_mm,Weight_g,Tube_box,Tube_size_ml,Preservative,Isotope_sample_weight_mg,Davis_ID_long,d13C,Total.C..µg.,d15N,Total.N..µg.,Type.of.Material,Sample.Weight..mg..from.Sample.List,Internal.ID,Lake_max_depth_m,Lake_surface_elev_m,Current_conversion,Secchi_m,Surface_area_ha,n,d13C_baseline,d13C_base_se,d15N_baseline,d15N_base_se,d13C_corr,d15N_corr,Lake_elevation,Lake_area,Lake_depth,Collected_date,Collected_month_name_long,Collected_month_name_short,Collected_time,Depth,Total._count,Remove.from.case,Approx.weight.of.tube..g.,Notes1,Notes2,Wet.weight.tube..g.,In_oven_date,Oven_temp_C,Test1.date,Test1.weight.tube..g.,Test2.date,Test2.weight.tube..g.,Daily.change,Test.3.date,Test.3.weight..g.,Daily.change.1,Out_oven_date,Dry_time_h,Est.pre.powder.dry.sample.in.tube..g.,Est...isotope.samples.in.tube,Powder.complete.date,Post.powder.Powder.tube.weight..g.,Powder.lost..g.,Powder.available.for.isotope.caps..g.,Est.number.of.isotope.caps.possible.from.powder,Cell.well.tray,Mixed.sample..Y.N,Count.of.individuals,Weight.of.individual,Mixed.with.which.tube.,Powder.weight.contributed..mg.,Empty.,Well_Row,Well_Column,Isotope_sample_ID_.year.tray.x.y.,Isotope_sample_complete_date
49,19-017,258,Bowman,Late,Periphyton,Autochthonous,2019,6,NO,NA,48.828224,-114.194158,0.5,NA,NA,NA,Brush,Periphyton,Littoral forage Periphyton,Periphyton,Periphyton,NA,NA,2019-15-1,15,Water,9.912,INDIA-C-12,-19.36,900.39,0.14,62.1,Plant,9.912,1668610,77,1228,0.91,13.33,910,15,-28.276,0.256377326,0.964,0.310291414,8.916,-0.824,1228,910,77,6/19/2019,June,Jun,NA,0.5,NA,NA,NA,Peri 1,,,8/29/2019 12:15,60,,,,NA,,,NA,,9/2/2019 15:00,,,,,NA,,NA,NA,2019-NOV-10-001,N,,,NA,10.031,N,A,8,2019-NOV-10-001-A-8,11/10/2019
52,19-018,222,Bowman,Late,Periphyton,Autochthonous,2019,6,NO,NA,48.828224,-114.194158,0.5,NA,NA,NA,Brush,Periphyton,Littoral forage Periphyton,Periphyton,Periphyton,NA,NA,2019-15-1,15,Water,10.063,INDIA-D-02,-19.41,493.91,0.7,36.05,Plant,10.063,1668612,77,1228,0.91,13.33,910,15,-28.276,0.256377326,0.964,0.310291414,8.866,-0.264,1228,910,77,6/19/2019,June,Jun,NA,0.5,NA,NA,NA,Peri 2,,,8/29/2019 12:15,60,,,,NA,,,NA,,9/2/2019 15:00,,,,,NA,,NA,NA,2019-NOV-10-001,N,,,NA,10.063,N,A,11,2019-NOV-10-001-A-11,11/10/2019
53,19-019,146,Bowman,Late,Periphyton,Autochthonous,2019,6,NO,NA,48.828224,-114.194158,0.5,NA,NA,NA,Brush,Periphyton,Littoral forage Periphyton,Periphyton,Periphyton,NA,NA,2019-15-3,15,Water,9.953,INDIA-D-03,-19.94,128.42,0.78,10.42,Plant,9.953,1668613,77,1228,0.91,13.33,910,15,-28.276,0.256377326,0.964,0.310291414,8.336,-0.184,1228,910,77,6/19/2019,June,Jun,NA,0.5,NA,NA,NA,Peri 3,,,8/29/2019 12:15,60,,,,NA,,,NA,,9/2/2019 15:00,,,,,NA,,NA,NA,2019-NOV-10-001,N,,,NA,9.953,N,A,12,2019-NOV-10-001-A-12,11/10/2019
54,19-023,500,Kintla,Late,Invertebrate,Autochthonous,2019,7,NO,NA,48.940412,-114.339246,5,NA,NA,Filterer-collector-phytoplanktivore,Zooplankton tow,Zooplankton,Pelagic forage Invertebrate,Zooplankton,Zooplankton,NA,NA,2019-50-2,50,Water,0.913,HOTEL-G-04,-35.9,311.33,3.77,30.94,Invertebrate,0.913,1668554,120,1221,0.98,14.33,1039,10,-27.162,0.453310784,0.469,0.220254651,-8.738,3.301,1221,1039,120,7/24/2019,July,Jul,NA,5,NA,NA,NA,,,,8/29/2019 12:45,60,,,,NA,,,NA,,9/2/2019 13:30,,,,,NA,,NA,NA,2019-NOV-02-002,N,,,NA,0.913,Y,B,8,2019-NOV-02-002-B-8,11/2/2019
55,19-024,502,Kintla,Late,Invertebrate,Autochthonous,2019,7,NO,NA,48.940412,-114.339246,5,NA,NA,Filterer-collector-phytoplanktivore,Zooplankton tow,Zooplankton,Pelagic forage Invertebrate,Zooplankton,Zooplankton,NA,NA,2019-50-2,50,Water,0.909,HOTEL-G-05,-35.8,189.19,3.56,18.64,Invertebrate,0.909,1668555,120,1221,0.98,14.33,1039,10,-27.162,0.453310784,0.469,0.220254651,-8.638,3.091,1221,1039,120,7/24/2019,July,Jul,NA,5,NA,NA,NA,,,,8/29/2019 12:15,60,,,,NA,,,NA,,9/2/2019 13:30,,,,,NA,,NA,NA,2019-NOV-02-002,N,,,NA,0.909,Y,B,9,2019-NOV-02-002-B-9,11/2/2019
56,19-025,503,Kintla,Late,Invertebrate,Autochthonous,2019,7,NO,NA,48.940412,-114.339246,5,NA,NA,Filterer-collector-phytoplanktivore,Zooplankton tow,Zooplankton,Pelagic forage Invertebrate,Zooplankton,Zooplankton,NA,NA,2019-50-2,50,Water,0.81,HOTEL-G-06,-30.01,224.37,2.24,18.87,Plant,0.81,1668556,120,1221,0.98,14.33,1039,10,-27.162,0.453310784,0.469,0.220254651,-2.848,1.771,1221,1039,120,7/24/2019,July,Jul,NA,5,NA,NA,NA,,,,8/29/2019 12:45,60,,,,NA,,,NA,,9/2/2019 13:30,,,,,NA,,NA,NA,2019-NOV-02-002,N,,,NA,0.81,Y,B,10,2019-NOV-02-002-B-10,11/2/2019
57,19-026,953,McDonald,Late,Periphyton,Autochthonous,2019,7,NO,NA,48.552457,-113.975959,0.5,NA,NA,NA,Brush,Periphyton,Littoral forage Periphyton,Periphyton,Periphyton,NA,NA,2019-50-2,50,Water,10.044,HOTEL-G-09,-24.71,1361.68,-0.36,111.36,Plant,10.044,1668559,144,961,0.81,8.33,2760,16,-24.435625,0.649470277,0.6675,0.205283341,-0.274375,-1.0275,961,2760,144,7/16/2019,July,Jul,NA,0.5,NA,NA,NA,,,,8/29/2019 12:45,60,,,,NA,,,NA,,9/2/2019 13:30,,,,,NA,,NA,NA,2019-NOV-02-002,N,,,NA,10.044,N,C,2,2019-NOV-02-002-C-2,11/2/2019
61,19-026,954,McDonald,Late,Periphyton,Autochthonous,2019,7,NO,NA,48.552457,-113.975959,0.5,NA,NA,NA,Brush,Periphyton,Littoral forage Periphyton,Periphyton,Periphyton,NA,NA,2019-50-2,50,Water,10.02,HOTEL-G-08,-24.7,1220.38,-0.34,99.43,Plant,10.02,1668558,144,961,0.81,8.33,2760,16,-24.435625,0.649470277,0.6675,0.205283341,-0.264375,-1.0075,961,2760,144,7/16/2019,July,Jul,NA,0.5,NA,NA,NA,,,,8/29/2019 12:45,60,,,,NA,,,NA,,9/2/2019 13:30,,,,,NA,,NA,NA,2019-NOV-02-002,N,,,NA,10.044,N,C,2,2019-NOV-02-002-C-2,11/2/2019
65,19-026,994,McDonald,Late,Periphyton,Autochthonous,2019,7,NO,NA,48.552457,-113.975959,0.5,NA,NA,NA,Brush,Periphyton,Littoral forage Periphyton,Periphyton,Periphyton,NA,NA,2019-50-2,50,Water,9.936,HOTEL-G-10,-25.01,1576.37,-0.53,127.92,Plant,9.936,1668560,144,961,0.81,8.33,2760,16,-24.435625,0.649470277,0.6675,0.205283341,-0.574375,-1.1975,961,2760,144,7/16/2019,July,Jul,NA,0.5,NA,NA,NA,,,,8/29/2019 12:45,60,,,,NA,,,NA,,9/2/2019 13:30,,,,,NA,,NA,NA,2019-NOV-02-002,N,,,NA,10.044,N,C,2,2019-NOV-02-002-C-2,11/2/2019
69,19-026,977,McDonald,Late,Periphyton,Autochthonous,2019,7,NO,NA,48.552457,-113.975959,0.5,NA,NA,NA,Brush,Periphyton,Littoral forage Periphyton,Periphyton,Periphyton,NA,NA,2019-50-2,50,Water,9.952,HOTEL-G-11,-25.01,1340.48,-0.52,108.46,Plant,9.952,1668561,144,961,0.81,8.33,2760,16,-24.435625,0.649470277,0.6675,0.205283341,-0.574375,-1.1875,961,2760,144,7/16/2019,July,Jul,NA,0.5,NA,NA,NA,,,,8/29/2019 12:45,60,,,,NA,,,NA,,9/2/2019 13:30,,,,,NA,,NA,NA,2019-NOV-02-002,N,,,NA,10.044,N,C,2,2019-NOV-02-002-C-2,11/2/2019
73,19-027,950,McDonald,Late,Periphyton,Autochthonous,2019,7,NO,NA,48.552457,-113.975959,0.5,NA,NA,NA,Brush,Periphyton,Littoral forage Periphyton,Periphyton,Periphyton,NA,NA,2019-50-2,50,Water,9.998,HOTEL-G-12,-20.97,1227.44,0.08,96.42,Plant,9.998,1668562,144,961,0.81,8.33,2760,16,-24.435625,0.649470277,0.6675,0.205283341,3.465625,-0.5875,961,2760,144,7/16/2019,July,Jul,NA,0.5,NA,NA,NA,,,,8/29/2019 12:45,60,,,,NA,,,NA,,9/2/2019 13:30,,,,,NA,,NA,NA,2019-NOV-02-002,N,,,NA,9.998,N,C,4,2019-NOV-02-002-C-4,11/2/2019
74,19-028,506,Kintla,Late,Invertebrate,Autochthonous,2019,7,YES,NA,48.94118,-114.345003,0.5,1,1,Collector-gatherer-scraper,D-net,Physidae,Littoral forage Invertebrate,Physid snail,Physidae,NA,NA,2019-50-2,50,Ethanol,1.055,HOTEL-H-01,-23.76,533.15,0.71,124.44,Invertebrate,1.055,1668563,120,1221,0.98,14.33,1039,10,-27.162,0.453310784,0.469,0.220254651,3.402,0.241,1221,1039,120,7/23/2019,July,Jul,NA,0.5,1,NA,NA,,,,8/29/2019 12:45,60,,,,NA,,,NA,,9/2/2019 13:30,,,,,NA,,NA,NA,2019-NOV-02-002,N,,,NA,1.037,N,C,7,2019-NOV-02-002-C-7,11/2/2019
79,19-038,455,Kintla,Late,Periphyton,Autochthonous,2019,7,NO,NA,48.943949,-114.34524,0.5,NA,NA,NA,Brush,Periphyton,Littoral forage Periphyton,Periphyton,Periphyton,NA,NA,2019-15-2,15,Water,9.933,INDIA-D-10,-30.63,2637.81,-1.14,251.92,Plant,9.933,1668620,120,1221,0.98,14.33,1039,10,-27.162,0.453310784,0.469,0.220254651,-3.468,-1.609,1221,1039,120,7/24/2019,July,Jul,NA,0.5,NA,NA,NA,Peri 3,,,8/29/2019 12:15,60,,,,NA,,,NA,,9/2/2019 15:00,,,,,NA,,NA,NA,2019-NOV-10-001,N,,,NA,9.933,N,E,8,2019-NOV-10-001-E-8,11/10/2019
81,19-038,459,Kintla,Late,Periphyton,Autochthonous,2019,7,NO,NA,48.943949,-114.34524,0.5,NA,NA,NA,Brush,Periphyton,Littoral forage Periphyton,Periphyton,Periphyton,NA,NA,2019-15-2,15,Water,9.967,INDIA-D-09,-30.43,2971.69,-0.99,276.99,Plant,9.967,1668619,120,1221,0.98,14.33,1039,10,-27.162,0.453310784,0.469,0.220254651,-3.268,-1.459,1221,1039,120,7/24/2019,July,Jul,NA,0.5,NA,NA,NA,Peri 3,,,8/29/2019 12:15,60,,,,NA,,,NA,,9/2/2019 15:00,,,,,NA,,NA,NA,2019-NOV-10-001,N,,,NA,9.933,N,E,8,2019-NOV-10-001-E-8,11/10/2019
83,19-041,958,McDonald,Late,Invertebrate,Autochthonous,2019,7,NO,NA,48.548309,-113.973446,5,NA,NA,Filterer-collector-phytoplanktivore,Zooplankton tow,Zooplankton,Pelagic forage Invertebrate,Zooplankton,Zooplankton,NA,NA,2019-50-2,50,Water,0.955,INDIA-A-01,-32.22,264.7,2.64,28.38,Invertebrate,0.955,1668575,144,961,0.81,8.33,2760,16,-24.435625,0.649470277,0.6675,0.205283341,-7.784375,1.9725,961,2760,144,7/17/2019,July,Jul,NA,5,NA,NA,NA,Zoop 1,,,8/29/2019 12:45,60,,,,NA,,,NA,,9/2/2019 13:30,,,,,NA,,NA,NA,2019-NOV-02-002,N,,,NA,0.955,Y,B,6,2019-NOV-02-002-B-6,11/2/2019
84,19-042,988,McDonald,Late,Invertebrate,Autochthonous,2019,7,NO,NA,48.548309,-113.973446,5,NA,NA,Filterer-collector-phytoplanktivore,Zooplankton tow,Zooplankton,Pelagic forage Invertebrate,Zooplankton,Zooplankton,NA,NA,2019-50-2,50,Water,0.917,INDIA-A-03,-34.23,219.02,2.84,23.05,Invertebrate,0.917,1668577,144,961,0.81,8.33,2760,16,-24.435625,0.649470277,0.6675,0.205283341,-9.794375,2.1725,961,2760,144,7/17/2019,July,Jul,NA,5,NA,NA,NA,Zoop 2,,,8/29/2019 12:45,60,,,,NA,,,NA,,9/2/2019 13:30,,,,,NA,,NA,NA,2019-NOV-02-002,N,,,NA,0.917,Y,B,7,2019-NOV-02-002-B-7,11/2/2019
85,19-043,962,McDonald,Late,Invertebrate,Autochthonous,2019,7,NO,NA,48.548309,-113.973446,5,NA,NA,Filterer-collector-phytoplanktivore,Zooplankton tow,Zooplankton,Pelagic forage Invertebrate,Zooplankton,Zooplankton,NA,NA,2019-50-2,50,Water,0.904,INDIA-A-04,-35.29,292.68,3.23,32.79,Invertebrate,0.904,1668578,144,961,0.81,8.33,2760,16,-24.435625,0.649470277,0.6675,0.205283341,-10.854375,2.5625,961,2760,144,7/17/2019,July,Jul,NA,5,NA,NA,NA,Zoop 3,,,8/29/2019 12:45,60,,,,NA,,,NA,,9/2/2019 13:30,,,,,NA,,NA,NA,2019-NOV-02-002,N,,,NA,0.904,Y,B,5,2019-NOV-02-002-B-5,11/2/2019
86,19-044,354,Hungry Horse,Reference,Invertebrate,Autochthonous,2019,6,NO,NA,48.24363,-113.848137,5,NA,NA,Filterer-collector-phytoplanktivore,Zooplankton tow,Zooplankton,Pelagic forage Invertebrate,Zooplankton,Zooplankton,NA,NA,2019-50-3,50,Water,0.913,HOTEL-C-03,-36.89,387.87,4.47,46.23,Invertebrate,0.913,1668505,149,1112,0,4.33,9630,12,-28.42833333,0.530524088,1.034166667,0.345315969,-8.461666667,3.435833333,1112,9630,149,6/4/2019,June,Jun,NA,5,NA,NA,NA,Zoop 1,,,8/29/2019 12:45,60,,,,NA,,,NA,,9/2/2019 13:30,,,,,NA,,NA,NA,2019-NOV-02-001,N,,,NA,0.913,Y,H,8,2019-NOV-02-001-H-8,11/2/2019
87,19-045,398,Hungry Horse,Reference,Invertebrate,Autochthonous,2019,6,NO,NA,48.24363,-113.848137,5,NA,NA,Filterer-collector-phytoplanktivore,Zooplankton tow,Zooplankton,Pelagic forage Invertebrate,Zooplankton,Zooplankton,NA,NA,2019-50-3,50,Water,0.938,INDIA-A-05,-35.11,343.99,5.24,39.05,Invertebrate,0.938,1668579,149,1112,0,4.33,9630,12,-28.42833333,0.530524088,1.034166667,0.345315969,-6.681666667,4.205833333,1112,9630,149,6/4/2019,June,Jun,NA,5,NA,NA,NA,Zoop 2,,,8/29/2019 12:15,60,,,,NA,,,NA,,9/2/2019 13:30,,,,,NA,,NA,NA,2019-NOV-02-002,N,,,NA,0.938,N,A,7,2019-NOV-02-002-A-7,11/2/2019
88,19-046,342,Hungry Horse,Reference,Invertebrate,Autochthonous,2019,6,NO,NA,48.24363,-113.848137,5,NA,NA,Filterer-collector-phytoplanktivore,Zooplankton tow,Zooplankton,Pelagic forage Invertebrate,Zooplankton,Zooplankton,NA,NA,2019-50-3,50,Water,0.91,HOTEL-C-04,-35.73,323.5,4.12,41.9,Invertebrate,0.91,1668506,149,1112,0,4.33,9630,12,-28.42833333,0.530524088,1.034166667,0.345315969,-7.301666667,3.085833333,1112,9630,149,6/4/2019,June,Jun,NA,5,NA,NA,NA,Zoop 3,,,8/29/2019 12:45,60,,,,NA,,,NA,,9/2/2019 13:30,,,,,NA,,NA,NA,2019-NOV-02-001,N,,,NA,0.91,N,H,7,2019-NOV-02-001-H-7,11/2/2019
89,19-047,373,Hungry Horse,Reference,Periphyton,Autochthonous,2019,6,NO,NA,48.018702,-113.586312,0.5,NA,NA,NA,Brush,Periphyton,Littoral forage Periphyton,Periphyton,Periphyton,NA,NA,2019-15-2,15,Water,9.975,INDIA-D-11,-24.37,418.95,0.38,30.71,Plant,9.975,1668621,149,1112,0,4.33,9630,12,-28.42833333,0.530524088,1.034166667,0.345315969,4.058333333,-0.654166667,1112,9630,149,6/5/2019,June,Jun,NA,0.5,NA,NA,NA,Peri 1,Peter's creek,,8/29/2019 12:15,60,,,,NA,,,NA,,9/2/2019 15:00,,,,,NA,,NA,NA,2019-NOV-10-001,N,,,NA,9.975,N,F,8,2019-NOV-10-001-F-8,11/10/2019
90,19-048,368,Hungry Horse,Reference,Periphyton,Autochthonous,2019,6,NO,NA,48.018702,-113.586312,0.5,NA,NA,NA,Brush,Periphyton,Littoral forage Periphyton,Periphyton,Periphyton,NA,NA,2019-15-2,15,Water,9.973,INDIA-E-01,-24.46,421.22,0.86,33.89,Plant,9.973,1668623,149,1112,0,4.33,9630,12,-28.42833333,0.530524088,1.034166667,0.345315969,3.968333333,-0.174166667,1112,9630,149,6/5/2019,June,Jun,NA,0.5,NA,NA,NA,Peri 2,Devil's corkscrew,,8/29/2019 12:15,60,,,,NA,,,NA,,9/2/2019 15:00,,,,,NA,,NA,NA,2019-NOV-10-001,N,,,NA,9.909,N,F,10,2019-NOV-10-001-F-10,11/10/2019
