Lake_name,Lake_elevation,Lake_area,Lake_depth,Invasion_category,Sample_type,Sample_origin,Collected_date,Collected_year,Collected_month_number,Collected_month_name_long,Collected_month_name_short,Littoral_zoobenthic_macroinvert_community_sample,Collected_time,Transect,Lat,Long,Depth,Total _count,Vial_count,Functional_feeding_group,Method_of_take,Common_name,Scientific_name,Total_length_mm,Weight_g,Tube_box,Tube_ID,Tube_size_ml,Preservative,Remove from case,Approx weight of tube (g),Notes1,Notes2,Wet weight tube (g),In_oven_date,Oven_temp_(C),Test1 date,Test1 weight tube (g),Test2 date,Test2 weight tube (g),Daily change,Test 3 date,Test 3 weight (g),Daily change,Out_oven_date,Dry_time_(h),Est pre-powder dry sample in tube (g),Est # isotope samples in tube,Powder complete date,Post-powder Powder+tube weight (g),Powder lost (g),Powder available for isotope caps (g),Est number of isotope caps possible from powder,Cell well tray,Mixed sample? Y/N,Count of individuals,Weight of individual,Mixed with which tube?,Powder weight contributed (mg),Isotope sample weight (mg),Empty?,Well_Row,Well_Column,Isotope_sample_ID_(year+tray+x+y),Isotope_sample_complete_date,13C,15N
Logging,1369,329,80,Invaded,Fish,Autochthonous,6/5/2018,2018,6,June,Jun,NO,12:39,NA,NA,NA,NA,1,1,NA,Mono gill net USGS,Longnose sucker,Catostomus catostomus,176,56,2018-A,AAQ,1.5,Ethanol,NA,0.9862,,,2.196,10/29/2018 16:41,60,10/30/2018 15:14,1.064,10/31/2018 16:25,1.063,0.09%,11/1/2018 15:50,1.063,0.00%,11/1/2018 16:34,72,0.0768,76.8,11/23/2018,1.063,0,0.0768,76.8,2018-NOV-21-001,N,,,NA,1.046,1.046,N,B,6,2018-NOV-21-001-B-6,11/23/2018,,
Logging,1369,329,80,Invaded,Fish,Autochthonous,6/5/2018,2018,6,June,Jun,NO,12:39,NA,NA,NA,NA,1,1,NA,Mono gill net USGS,Largescale sucker,Catostomus macrocheilus,318,301,2018-A,AAR,1.5,Ethanol,NA,0.9862,,,2.259,10/29/2018 16:41,60,10/30/2018 15:14,1.083,10/31/2018 16:25,1.083,0.00%,11/1/2018 15:50,1.083,0.00%,11/1/2018 16:34,72,0.0968,96.8,11/23/2018,1.083,0,0.0968,96.8,2018-NOV-21-001,N,,,NA,1.001,1.001,N,B,7,2018-NOV-21-001-B-7,11/23/2018,,
Logging,1369,329,80,Invaded,Fish,Autochthonous,6/5/2018,2018,6,June,Jun,NO,12:39,NA,NA,NA,NA,1,1,NA,Mono gill net USGS,Mountain whitefish,Prosopium williamsoni,271,179,2018-A,AAS,1.5,Ethanol,NA,0.9862,,,2.169,10/29/2018 16:41,60,10/30/2018 15:14,1.079,10/31/2018 16:25,1.079,0.00%,11/1/2018 15:50,1.079,0.00%,11/1/2018 16:34,72,0.0928,92.8,11/23/2018,1.079,0,0.0928,92.8,2018-NOV-21-001,N,,,NA,1.04,1.04,N,B,8,2018-NOV-21-001-B-8,11/23/2018,,
Logging,1369,329,80,Invaded,Fish,Autochthonous,6/5/2018,2018,6,June,Jun,NO,12:39,NA,NA,NA,NA,1,1,NA,Mono gill net USGS,Northern pikeminnow,Ptychocheilus oregonensis,244,107,2018-A,AAT,1.5,Ethanol,NA,0.9862,,,2.297,10/29/2018 16:41,60,10/30/2018 15:14,1.069,10/31/2018 16:25,1.068,0.09%,11/1/2018 15:50,1.068,0.00%,11/1/2018 16:34,72,0.0818,81.8,11/23/2018,1.068,0,0.0818,81.8,2018-NOV-21-001,N,,,NA,1.089,1.089,N,B,9,2018-NOV-21-001-B-9,11/23/2018,,
Logging,1369,329,80,Invaded,Fish,Autochthonous,6/5/2018,2018,6,June,Jun,NO,12:39,NA,NA,NA,NA,1,1,NA,Mono gill net USGS,Northern pikeminnow,Ptychocheilus oregonensis,249,127,2018-A,AAU,1.5,Ethanol,NA,0.9862,,,2.32,10/29/2018 16:41,60,10/30/2018 15:14,1.087,10/31/2018 16:25,1.086,0.09%,11/1/2018 15:50,1.086,0.00%,11/1/2018 16:34,72,0.0998,99.8,11/23/2018,1.086,0,0.0998,99.8,2018-NOV-21-001,N,,,NA,0.925,0.925,N,B,10,2018-NOV-21-001-B-10,11/23/2018,,
Logging,1369,329,80,Invaded,Fish,Autochthonous,6/5/2018,2018,6,June,Jun,NO,12:39,NA,NA,NA,NA,1,1,NA,Mono gill net USGS,Northern pikeminnow,Ptychocheilus oregonensis,280,175,2018-A,AAV,1.5,Ethanol,NA,0.9862,,,2.081,10/29/2018 16:41,60,10/30/2018 15:14,1.067,10/31/2018 16:25,1.066,0.09%,11/1/2018 15:50,1.066,0.00%,11/1/2018 16:34,72,0.0798,79.8,11/23/2018,1.066,0,0.0798,79.8,2018-NOV-21-001,N,,,NA,0.98,0.98,N,B,12,2018-NOV-21-001-B-12,11/23/2018,,
Logging,1369,329,80,Invaded,Fish,Autochthonous,6/5/2018,2018,6,June,Jun,NO,12:39,NA,NA,NA,NA,1,1,NA,Mono gill net USGS,Largescale sucker,Catostomus macrocheilus,298,219,2018-A,AAW,1.5,Ethanol,NA,0.9862,,,2.21,10/29/2018 16:41,60,10/30/2018 15:14,1.067,10/31/2018 16:25,1.066,0.09%,11/1/2018 15:50,1.066,0.00%,11/1/2018 16:34,72,0.0798,79.8,11/23/2018,1.066,0,0.0798,79.8,2018-NOV-21-001,N,,,NA,1.072,1.072,N,C,1,2018-NOV-21-001-C-1,11/23/2018,,
Logging,1369,329,80,Invaded,Fish,Autochthonous,6/5/2018,2018,6,June,Jun,NO,12:39,NA,NA,NA,NA,1,1,NA,Mono gill net USGS,Largescale sucker,Catostomus macrocheilus,279,218,2018-A,AAX,1.5,Ethanol,NA,0.9862,,,2.26,10/29/2018 16:41,60,10/30/2018 15:14,1.076,10/31/2018 16:25,1.076,0.00%,11/1/2018 15:50,1.076,0.00%,11/1/2018 16:34,72,0.0898,89.8,11/23/2018,1.076,0,0.0898,89.8,2018-NOV-21-001,N,,,NA,1.058,1.058,N,C,2,2018-NOV-21-001-C-2,11/23/2018,,
Logging,1369,329,80,Invaded,Fish,Autochthonous,6/5/2018,2018,6,June,Jun,NO,12:39,NA,NA,NA,NA,1,1,NA,Mono gill net USGS,Largescale sucker,Catostomus macrocheilus,281,188,2018-A,AAY,1.5,Ethanol,NA,0.9862,,,2.221,10/29/2018 16:41,60,10/30/2018 15:14,1.076,10/31/2018 16:25,1.075,0.09%,11/1/2018 15:50,1.075,0.00%,11/1/2018 16:34,72,0.0888,88.8,11/23/2018,1.075,0,0.0888,88.8,2018-NOV-21-001,N,,,NA,1.084,1.084,N,C,3,2018-NOV-21-001-C-3,11/23/2018,,
Logging,1369,329,80,Invaded,Fish,Autochthonous,6/5/2018,2018,6,June,Jun,NO,15:05,NA,NA,NA,NA,1,1,NA,Mono gill net USGS,Northern pikeminnow,Ptychocheilus oregonensis,285,104,2018-A,AAZ,1.5,Ethanol,NA,0.9862,,,2.332,10/29/2018 16:41,60,10/30/2018 15:14,1.103,10/31/2018 16:25,1.109,-0.54%,11/1/2018 15:50,1.109,0.00%,11/1/2018 16:34,72,0.1228,122.8,11/23/2018,1.109,0,0.1228,122.8,2018-NOV-21-001,N,,,NA,0.947,0.947,N,C,4,2018-NOV-21-001-C-4,11/23/2018,,
Logging,1369,329,80,Invaded,Fish,Autochthonous,6/5/2018,2018,6,June,Jun,NO,15:05,NA,NA,NA,NA,1,1,NA,Mono gill net USGS,Mountain whitefish,Prosopium williamsoni,155,126,2018-A,ABA,1.5,Ethanol,NA,0.9862,,,2.314,10/29/2018 16:41,60,10/30/2018 15:14,1.112,10/31/2018 16:25,1.075,3.33%,11/1/2018 15:50,1.075,0.00%,11/1/2018 16:34,72,0.0888,88.8,11/23/2018,1.075,0,0.0888,88.8,2018-NOV-21-001,N,,,NA,1.069,1.069,N,C,5,2018-NOV-21-001-C-5,11/23/2018,,
Logging,1369,329,80,Invaded,Fish,Autochthonous,6/5/2018,2018,6,June,Jun,NO,15:05,NA,NA,NA,NA,1,1,NA,Mono gill net USGS,Northern pikeminnow,Ptychocheilus oregonensis,242,120,2018-A,ABB,1.5,Ethanol,NA,0.9862,,,2.326,10/29/2018 16:41,60,10/30/2018 15:14,1.077,10/31/2018 16:25,1.076,0.09%,11/1/2018 15:50,1.076,0.00%,11/1/2018 16:34,72,0.0898,89.8,11/23/2018,1.076,0,0.0898,89.8,2018-NOV-21-001,N,,,NA,1.054,1.054,N,C,6,2018-NOV-21-001-C-6,11/23/2018,,
Logging,1369,329,80,Invaded,Fish,Autochthonous,6/5/2018,2018,6,June,Jun,NO,15:05,NA,NA,NA,NA,1,1,NA,Mono gill net USGS,Mountain whitefish,Prosopium williamsoni,267,149,2018-A,ABC,1.5,Ethanol,NA,0.9862,,,2.306,10/29/2018 16:41,60,10/30/2018 15:14,1.106,10/31/2018 16:25,1.105,0.09%,11/1/2018 15:50,1.105,0.00%,11/1/2018 16:34,72,0.1188,118.8,11/23/2018,1.105,0,0.1188,118.8,2018-NOV-21-001,N,,,NA,1.024,1.024,N,C,7,2018-NOV-21-001-C-7,11/23/2018,,
Logging,1369,329,80,Invaded,Fish,Autochthonous,6/5/2018,2018,6,June,Jun,NO,15:05,NA,NA,NA,NA,1,1,NA,Mono gill net USGS,Mountain whitefish,Prosopium williamsoni,280,165,2018-A,ABD,1.5,Ethanol,NA,0.9862,,,2.381,10/29/2018 16:41,60,10/30/2018 15:14,1.085,10/31/2018 16:25,1.084,0.09%,11/1/2018 15:50,1.084,0.00%,11/1/2018 16:34,72,0.0978,97.8,11/23/2018,1.084,0,0.0978,97.8,2018-NOV-21-001,N,,,NA,1.001,1.001,N,C,8,2018-NOV-21-001-C-8,11/23/2018,,
Logging,1369,329,80,Invaded,Fish,Autochthonous,6/5/2018,2018,6,June,Jun,NO,15:05,NA,NA,NA,NA,1,1,NA,Mono gill net USGS,Mountain whitefish,Prosopium williamsoni,225,93,2018-A,ABE,1.5,Ethanol,NA,0.9862,,,2.185,10/29/2018 16:41,60,10/30/2018 15:14,1.103,10/31/2018 16:25,1.103,0.00%,11/1/2018 15:50,1.103,0.00%,11/1/2018 16:34,72,0.1168,116.8,11/23/2018,1.103,0,0.1168,116.8,2018-NOV-21-001,N,,,NA,0.928,0.928,N,C,9,2018-NOV-21-001-C-9,11/23/2018,,
Logging,1369,329,80,Invaded,Fish,Autochthonous,6/5/2018,2018,6,June,Jun,NO,15:05,NA,NA,NA,NA,1,1,NA,Mono gill net USGS,Longnose sucker,Catostomus catostomus,345,352,2018-A,ABF,1.5,Ethanol,NA,0.9862,,,2.27,10/29/2018 16:41,60,10/30/2018 15:14,1.106,10/31/2018 16:25,1.105,0.09%,11/1/2018 15:50,1.105,0.00%,11/1/2018 16:34,72,0.1188,118.8,11/23/2018,1.105,0,0.1188,118.8,2018-NOV-21-001,N,,,NA,0.969,0.969,N,C,11,2018-NOV-21-001-C-11,11/23/2018,,
Logging,1369,329,80,Invaded,Fish,Autochthonous,6/5/2018,2018,6,June,Jun,NO,15:05,NA,NA,NA,NA,1,1,NA,Mono gill net USGS,Mountain whitefish,Prosopium williamsoni,196,48,2018-A,ABG,1.5,Ethanol,NA,0.9862,,,2.264,10/29/2018 16:41,60,10/30/2018 15:14,1.069,10/31/2018 16:25,1.069,0.00%,11/1/2018 15:50,1.069,0.00%,11/1/2018 16:34,72,0.0828,82.8,11/23/2018,1.069,0,0.0828,82.8,2018-NOV-21-001,N,,,NA,0.999,0.999,N,C,12,2018-NOV-21-001-C-12,11/23/2018,,
Logging,1369,329,80,Invaded,Fish,Autochthonous,6/5/2018,2018,6,June,Jun,NO,15:05,NA,NA,NA,NA,1,1,NA,Mono gill net USGS,Northern pikeminnow,Ptychocheilus oregonensis,274,154,2018-A,ABH,1.5,Ethanol,NA,0.9862,,,2.244,10/29/2018 16:41,60,10/30/2018 15:14,1.083,10/31/2018 16:25,1.082,0.09%,11/1/2018 15:50,1.082,0.00%,11/1/2018 16:34,72,0.0958,95.8,11/23/2018,1.082,0,0.0958,95.8,2018-NOV-21-001,N,,,NA,0.984,0.984,N,D,1,2018-NOV-21-001-D-1,11/23/2018,,
Logging,1369,329,80,Invaded,Fish,Autochthonous,6/5/2018,2018,6,June,Jun,NO,15:05,NA,NA,NA,NA,1,1,NA,Mono gill net USGS,Mountain whitefish,Prosopium williamsoni,268,159,2018-A,ABI,1.5,Ethanol,NA,0.9862,,,2.297,10/29/2018 16:41,60,10/30/2018 15:14,1.065,10/31/2018 16:25,1.065,0.00%,11/1/2018 15:50,1.065,0.00%,11/1/2018 16:34,72,0.0788,78.8,11/23/2018,1.065,0,0.0788,78.8,2018-NOV-21-001,N,,,NA,0.928,0.928,N,D,2,2018-NOV-21-001-D-2,11/23/2018,,
Logging,1369,329,80,Invaded,Fish,Autochthonous,6/5/2018,2018,6,June,Jun,NO,15:05,NA,NA,NA,NA,1,1,NA,Mono gill net USGS,Largescale sucker,Catostomus macrocheilus,240,127,2018-A,ABJ,1.5,Ethanol,NA,0.9862,,,2.302,10/29/2018 16:41,60,10/30/2018 15:14,1.087,10/31/2018 16:25,1.087,0.00%,,1.087,0.00%,11/1/2018 16:34,72,0.1008,100.8,11/23/2018,1.087,0,0.1008,100.8,2018-NOV-21-001,N,,,NA,0.963,0.963,N,D,3,2018-NOV-21-001-D-3,11/23/2018,,
Logging,1369,329,80,Invaded,Fish,Autochthonous,6/5/2018,2018,6,June,Jun,NO,15:05,NA,NA,NA,NA,1,1,NA,Mono gill net USGS,Mountain whitefish,Prosopium williamsoni,232,119,2018-A,ABK,1.5,Ethanol,NA,0.9862,,,2.078,10/29/2018 16:41,60,10/30/2018 15:14,1.078,10/31/2018 16:25,1.078,0.00%,,1.078,0.00%,11/1/2018 16:34,72,0.0918,91.8,11/23/2018,1.078,0,0.0918,91.8,2018-NOV-21-001,N,,,NA,0.962,0.962,N,D,4,2018-NOV-21-001-D-4,11/23/2018,,
Logging,1369,329,80,Invaded,Fish,Autochthonous,6/5/2018,2018,6,June,Jun,NO,15:05,NA,NA,NA,NA,1,1,NA,Mono gill net USGS,Northern pikeminnow,Ptychocheilus oregonensis,268,188,2018-A,ABL,1.5,Ethanol,NA,0.9862,,,2.333,10/29/2018 16:41,60,10/30/2018 15:14,1.102,10/31/2018 16:25,1.101,0.09%,,1.101,0.00%,11/1/2018 16:34,72,0.1148,114.8,11/23/2018,1.101,0,0.1148,114.8,2018-NOV-21-001,N,,,NA,1.081,1.081,N,D,5,2018-NOV-21-001-D-5,11/23/2018,,
Logging,1369,329,80,Invaded,Fish,Autochthonous,6/5/2018,2018,6,June,Jun,NO,15:05,NA,NA,NA,NA,1,1,NA,Mono gill net USGS,Longnose sucker,Catostomus catostomus,206,93,2018-A,ABM,1.5,Ethanol,NA,0.9862,,,2.293,10/29/2018 16:41,60,10/30/2018 15:14,1.079,10/31/2018 16:25,1.077,0.19%,,1.077,0.00%,11/1/2018 16:34,72,0.0908,90.8,11/23/2018,1.077,0,0.0908,90.8,2018-NOV-21-001,N,,,NA,0.953,0.953,N,D,6,2018-NOV-21-001-D-6,11/23/2018,,
Logging,1369,329,80,Invaded,Fish,Autochthonous,6/5/2018,2018,6,June,Jun,NO,15:05,NA,NA,NA,NA,1,1,NA,Mono gill net USGS,Mountain whitefish,Prosopium williamsoni,197,58,2018-A,ABN,1.5,Ethanol,NA,0.9862,,,2.337,10/29/2018 16:41,60,10/30/2018 15:14,1.105,10/31/2018 16:25,1.105,0.00%,,1.105,0.00%,11/1/2018 16:34,72,0.1188,118.8,11/23/2018,1.105,0,0.1188,118.8,2018-NOV-21-001,N,,,NA,1.089,1.089,N,D,7,2018-NOV-21-001-D-7,11/23/2018,,
Logging,1369,329,80,Invaded,Fish,Autochthonous,6/5/2018,2018,6,June,Jun,NO,15:05,NA,NA,NA,NA,1,1,NA,Mono gill net USGS,Longnose sucker,Catostomus catostomus,60,40,2018-A,ABO,1.5,Ethanol,NA,0.9862,,,2.241,10/29/2018 16:41,60,10/30/2018 15:14,1.086,10/31/2018 16:25,1.085,0.09%,,1.085,0.00%,11/1/2018 16:34,72,0.0988,98.8,11/23/2018,1.085,0,0.0988,98.8,2018-NOV-21-001,N,,,NA,0.946,0.946,N,D,8,2018-NOV-21-001-D-8,11/23/2018,,
Logging,1369,329,80,Invaded,Fish,Autochthonous,6/5/2018,2018,6,June,Jun,NO,15:05,NA,NA,NA,NA,1,1,NA,Mono gill net USGS,Mountain whitefish,Prosopium williamsoni,225,90,2018-A,ABP,1.5,Ethanol,NA,0.9862,,,2.258,10/29/2018 16:41,60,10/30/2018 15:14,1.094,10/31/2018 16:25,1.094,0.00%,,1.094,0.00%,11/1/2018 16:34,72,0.1078,107.8,11/23/2018,1.094,0,0.1078,107.8,2018-NOV-21-001,N,,,NA,0.949,0.949,N,D,10,2018-NOV-21-001-D-10,11/23/2018,,
